t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.001,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.042,12.02,0.000,84.4
0.009,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.042,12.04,0.000,85.5
0.058,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.042,11.89,0.000,77.2
0.135,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.043,11.84,0.000,74.4
0.160,0.0062,0.0000,0.0062,0.0000,0.0000,0.180,-0.046,11.84,0.000,74.4
0.205,0.0134,0.0000,0.0134,0.0000,0.0000,0.180,-0.046,11.89,0.000,77.2
0.269,0.0215,0.0000,0.0215,0.0000,0.0000,0.180,-0.041,11.85,0.000,75.0
0.311,0.0328,0.0000,0.0328,0.0000,0.0000,0.180,-0.040,11.84,0.000,74.4
0.359,0.0405,0.0000,0.0405,0.0000,0.0000,0.180,-0.035,11.89,0.000,77.2
0.418,0.0484,-0.0000,0.0484,0.0000,0.0000,0.180,-0.035,11.87,0.000,76.1
0.457,0.0598,-0.0001,0.0598,0.0000,0.0001,0.180,-0.030,11.82,0.000,73.3
0.516,0.0673,-0.0001,0.0673,0.0000,0.0001,0.180,-0.030,11.87,0.000,76.1
0.566,0.0753,-0.0002,0.0753,0.0000,0.0002,0.180,-0.025,11.87,0.000,76.1
0.613,0.0867,-0.0003,0.0867,0.0000,0.0003,0.180,-0.020,11.82,0.000,73.3
0.672,0.0942,-0.0004,0.0942,0.0000,0.0004,0.180,-0.013,11.84,0.000,74.4
0.744,0.1059,-0.0005,0.1059,0.0000,0.0005,0.180,-0.009,11.87,0.000,76.1
0.760,0.1139,-0.0006,0.1139,0.0000,0.0006,0.180,-0.008,11.84,0.000,74.4
0.817,0.1213,-0.0007,0.1213,0.0000,0.0007,0.180,-0.008,11.85,0.000,75.0
0.864,0.1290,-0.0008,0.1290,0.0000,0.0008,0.180,-0.006,11.87,0.000,76.1
0.908,0.1405,-0.0010,0.1405,0.0000,0.0010,0.180,-0.003,11.85,0.000,75.0
0.954,0.1480,-0.0012,0.1480,0.0000,0.0012,0.180,-0.003,11.84,0.000,74.4
1.015,0.1557,-0.0013,0.1557,0.0000,0.0013,0.180,-0.000,11.87,0.000,76.1
1.054,0.1673,-0.0015,0.1673,0.0000,0.0015,0.180,0.002,11.87,0.000,76.1
1.116,0.1748,-0.0016,0.1748,0.0000,0.0016,0.180,0.001,11.82,0.000,73.3
1.163,0.1825,-0.0018,0.1825,0.0000,0.0018,0.180,0.003,11.87,0.000,76.1
1.206,0.1941,-0.0020,0.1941,0.0000,0.0020,0.180,0.004,11.85,0.000,75.0
1.267,0.2018,-0.0021,0.2018,0.0000,0.0021,0.180,0.003,11.82,0.000,73.3
1.313,0.2130,-0.0024,0.2130,0.0000,0.0024,0.180,0.002,11.87,0.000,76.1
1.366,0.2205,-0.0025,0.2205,0.0000,0.0025,0.180,0.002,11.85,0.000,75.0
1.414,0.2282,-0.0026,0.2282,0.0000,0.0026,0.180,0.000,11.82,0.000,73.3
1.456,0.2394,-0.0028,0.2394,0.0000,0.0028,0.180,-0.003,11.84,0.000,74.4
1.518,0.2472,-0.0029,0.2472,0.0000,0.0029,0.180,-0.003,11.85,0.000,75.0
1.563,0.2549,-0.0030,0.2549,0.0000,0.0030,0.180,-0.004,11.82,0.000,73.3
1.609,0.2664,-0.0032,0.2664,0.0000,0.0032,0.180,-0.003,11.82,0.000,73.3
1.655,0.2740,-0.0033,0.2740,0.0000,0.0033,0.180,-0.003,11.87,0.000,76.1
1.716,0.2818,-0.0035,0.2818,0.0000,0.0035,0.180,-0.002,11.84,0.000,74.4
1.754,0.2933,-0.0037,0.2933,0.0000,0.0037,0.180,-0.001,11.87,0.000,76.1
