t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.001,0.0000,-0.0000,0.0000,0.0000,0.0000,0.144,-0.022,12.02,0.000,84.4
0.042,0.0000,-0.0000,0.0000,0.0000,0.0000,0.144,-0.022,12.00,0.000,83.3
0.084,0.0000,-0.0000,0.0000,0.0000,0.0000,0.173,-0.026,11.76,0.000,70.0
0.135,0.0006,0.0000,0.0006,0.0000,0.0000,0.179,-0.027,11.63,0.000,62.8
0.195,0.0047,0.0001,0.0047,0.0000,0.0001,0.179,-0.027,11.74,0.000,68.9
0.233,0.0144,0.0002,0.0144,0.0000,0.0002,0.180,-0.027,11.76,0.000,70.0
0.293,0.0217,0.0003,0.0217,0.0000,0.0003,0.180,-0.027,11.76,0.000,70.0
0.340,0.0289,0.0005,0.0289,0.0000,0.0005,0.180,-0.027,11.74,0.000,68.9
0.385,0.0396,0.0006,0.0396,0.0000,0.0006,0.180,-0.025,11.76,0.000,70.0
0.433,0.0467,0.0007,0.0467,0.0000,0.0007,0.180,-0.024,11.76,0.000,70.0
0.491,0.0539,0.0008,0.0539,0.0000,0.0008,0.180,-0.023,11.74,0.000,68.9
0.534,0.0646,0.0009,0.0646,0.0000,0.0009,0.180,-0.023,11.78,0.000,71.1
0.593,0.0721,0.0010,0.0721,0.0000,0.0010,0.180,-0.023,11.78,0.000,71.1
0.637,0.0792,0.0011,0.0792,0.0000,0.0011,0.180,-0.020,11.73,0.000,68.3
0.696,0.0900,0.0012,0.0900,0.0000,0.0012,0.180,-0.019,11.78,0.000,71.1
0.744,0.0975,0.0012,0.0975,0.0000,0.0012,0.180,-0.019,11.76,0.000,70.0
0.803,0.1084,0.0013,0.1084,0.0000,0.0013,0.180,-0.017,11.74,0.000,68.9
0.834,0.1155,0.0013,0.1155,0.0000,0.0013,0.180,-0.017,11.78,0.000,71.1
0.895,0.1229,0.0013,0.1229,0.0000,0.0013,0.180,-0.014,11.78,0.000,71.1
0.944,0.1338,0.0014,0.1338,0.0000,0.0014,0.180,-0.012,11.73,0.000,68.3
1.005,0.1408,0.0014,0.1408,0.0000,0.0014,0.180,-0.011,11.78,0.000,71.1
1.041,0.1481,0.0014,0.1481,0.0000,0.0014,0.180,-0.011,11.78,0.000,71.1
1.102,0.1590,0.0014,0.1590,0.0000,0.0014,0.180,-0.009,11.73,0.000,68.3
1.132,0.1661,0.0014,0.1661,0.0000,0.0014,0.180,-0.008,11.78,0.000,71.1
1.192,0.1736,0.0014,0.1736,0.0000,0.0014,0.180,-0.008,11.78,0.000,71.1
1.234,0.1845,0.0014,0.1845,0.0000,0.0014,0.180,-0.008,11.74,0.000,68.9
1.294,0.1917,0.0015,0.1917,0.0000,0.0015,0.180,-0.008,11.76,0.000,70.0
1.340,0.1992,0.0015,0.1992,0.0000,0.0015,0.180,-0.009,11.76,0.000,70.0
1.386,0.2101,0.0015,0.2101,0.0000,0.0015,0.180,-0.009,11.74,0.000,68.9
1.433,0.2172,0.0015,0.2172,0.0000,0.0015,0.180,-0.010,11.78,0.000,71.1
1.501,0.2246,0.0015,0.2246,0.0000,0.0015,0.180,-0.010,11.74,0.000,68.9
