t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.002,0.0000,-0.0000,0.0000,0.0000,0.0000,0.153,-0.136,12.00,0.000,83.3
0.023,0.0000,-0.0000,0.0000,0.0000,0.0000,0.179,-0.022,12.00,0.000,83.3
0.071,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.019,11.67,0.000,65.0
0.117,0.0007,0.0000,0.0007,0.0000,0.0000,0.180,-0.064,11.60,0.000,61.1
0.174,0.0056,0.0001,0.0056,0.0000,0.0001,0.180,-0.026,11.71,0.000,67.2
0.224,0.0125,0.0002,0.0125,0.0000,0.0002,0.180,-0.036,11.74,0.000,68.9
0.275,0.0234,0.0003,0.0234,0.0000,0.0003,0.180,-0.036,11.71,0.000,67.2
0.332,0.0309,0.0004,0.0309,0.0000,0.0004,0.180,-0.037,11.73,0.000,68.3
0.372,0.0384,0.0005,0.0384,0.0000,0.0005,0.180,-0.038,11.76,0.000,70.0
0.416,0.0501,0.0007,0.0501,0.0000,0.0007,0.180,-0.031,11.73,0.000,68.3
0.501,0.0580,0.0008,0.0580,0.0000,0.0008,0.180,-0.037,11.73,0.000,68.3
0.537,0.0655,0.0008,0.0655,0.0000,0.0008,0.180,-0.027,11.74,0.000,68.9
0.567,0.0771,0.0010,0.0771,0.0000,0.0010,0.180,-0.013,11.73,0.000,68.3
0.627,0.0847,0.0010,0.0847,0.0000,0.0010,0.180,-0.004,11.73,0.000,68.3
0.669,0.0958,0.0011,0.0958,0.0000,0.0011,0.180,-0.023,11.74,0.000,68.9
0.726,0.1034,0.0011,0.1034,0.0000,0.0011,0.180,0.007,11.74,0.000,68.9
0.778,0.1110,0.0012,0.1110,0.0000,0.0012,0.180,0.003,11.73,0.000,68.3
0.817,0.1225,0.0012,0.1225,0.0000,0.0012,0.180,-0.003,11.73,0.000,68.3
0.889,0.1296,0.0012,0.1296,0.0000,0.0012,0.180,0.017,11.74,0.000,68.9
0.936,0.1375,0.0012,0.1375,0.0000,0.0012,0.180,0.009,11.74,0.000,68.9
1.005,0.1489,0.0012,0.1489,0.0000,0.0012,0.180,-0.008,11.73,0.000,68.3
1.027,0.1562,0.0012,0.1562,0.0000,0.0012,0.180,-0.001,11.74,0.000,68.9
1.062,0.1678,0.0011,0.1678,0.0000,0.0011,0.180,-0.006,11.74,0.000,68.9
1.132,0.1751,0.0011,0.1751,0.0000,0.0011,0.180,-0.005,11.76,0.000,70.0
1.182,0.1828,0.0011,0.1828,0.0000,0.0011,0.180,-0.004,11.74,0.000,68.9
1.215,0.1943,0.0011,0.1943,0.0000,0.0011,0.180,-0.003,11.76,0.000,70.0
1.266,0.2021,0.0010,0.2021,0.0000,0.0010,0.180,-0.003,11.74,0.000,68.9
1.322,0.2097,0.0010,0.2097,0.0000,0.0010,0.180,-0.002,11.73,0.000,68.3
1.363,0.2207,0.0010,0.2207,0.0000,0.0010,0.180,-0.002,11.76,0.000,70.0
1.425,0.2284,0.0009,0.2284,0.0000,0.0009,0.180,-0.002,11.74,0.000,68.9
1.499,0.2361,0.0009,0.2361,0.0000,0.0009,0.180,-0.003,11.73,0.000,68.3
1.515,0.2477,0.0009,0.2477,0.0000,0.0009,0.180,-0.018,11.76,0.000,70.0
1.564,0.2555,0.0009,0.2555,0.0000,0.0009,0.180,-0.005,11.74,0.000,68.9
