t,x,y,ref_x,ref_y,err,v,w,voltage,current,percentage
0.001,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.000,12.020,0.000,84.440
0.003,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.000,12.020,0.000,84.440
0.005,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.000,12.020,0.000,84.440
0.007,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.000,12.000,0.000,83.330
0.009,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.000,12.020,0.000,84.440
0.024,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.000,12.020,0.000,84.440
0.099,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.000,11.850,0.000,75.000
0.140,0.0008,0.0000,0.0008,0.0000,0.0000,0.180,-0.000,11.780,0.000,71.110
0.186,0.0062,0.0000,0.0062,0.0000,0.0000,0.180,-0.001,11.840,0.000,74.440
0.231,0.0134,0.0001,0.0134,0.0000,0.0001,0.180,-0.001,11.850,0.000,75.000
0.290,0.0249,0.0002,0.0249,0.0000,0.0002,0.180,-0.002,11.840,0.000,74.440
0.318,0.0325,0.0002,0.0325,0.0000,0.0002,0.180,-0.002,11.820,0.000,73.330
0.374,0.0399,0.0003,0.0399,0.0000,0.0003,0.180,-0.002,11.850,0.000,75.000
0.491,0.0514,0.0004,0.0514,0.0000,0.0004,0.180,-0.002,11.850,0.000,75.000
0.505,0.0592,0.0004,0.0592,0.0000,0.0004,0.180,-0.002,11.840,0.000,74.440
0.558,0.0667,0.0005,0.0667,0.0000,0.0005,0.180,-0.002,11.840,0.000,74.440
0.605,0.0783,0.0006,0.0783,0.0000,0.0006,0.180,-0.001,11.850,0.000,75.000
0.622,0.0862,0.0006,0.0862,0.0000,0.0006,0.180,-0.001,11.850,0.000,75.000
0.667,0.0938,0.0007,0.0938,0.0000,0.0007,0.180,-0.001,11.840,0.000,74.440
0.757,0.1052,0.0007,0.1052,0.0000,0.0007,0.180,-0.001,11.840,0.000,74.440
0.802,0.1130,0.0008,0.1130,0.0000,0.0008,0.180,-0.001,11.850,0.000,75.000
0.829,0.1245,0.0008,0.1245,0.0000,0.0008,0.180,-0.001,11.840,0.000,74.440
0.921,0.1321,0.0009,0.1321,0.0000,0.0009,0.180,-0.001,11.840,0.000,74.440
1.077,0.1398,0.0009,0.1398,0.0000,0.0009,0.180,-0.001,11.850,0.000,75.000
1.091,0.1515,0.0009,0.1515,0.0000,0.0009,0.180,-0.001,11.840,0.000,74.440
1.098,0.1590,0.0010,0.1590,0.0000,0.0010,0.180,-0.001,11.840,0.000,74.440
1.103,0.1668,0.0010,0.1668,0.0000,0.0010,0.180,-0.001,11.840,0.000,74.440
1.136,0.1785,0.0011,0.1785,0.0000,0.0011,0.180,-0.001,11.850,0.000,75.000
1.204,0.1863,0.0011,0.1863,0.0000,0.0011,0.180,-0.001,11.840,0.000,74.440
1.250,0.1940,0.0011,0.1940,0.0000,0.0011,0.180,-0.001,11.850,0.000,75.000
1.284,0.2056,0.0012,0.2056,0.0000,0.0012,0.180,-0.001,11.850,0.000,75.000
1.381,0.2133,0.0012,0.2133,0.0000,0.0012,0.180,-0.001,11.840,0.000,74.440
1.397,0.2208,0.0013,0.2208,0.0000,0.0013,0.180,-0.001,11.840,0.000,74.440
