file,trajectory,controller,IAE,ITAE,ISE,ICE,max_error,mean_error,final_error,settling_time,total_time,num_samples
compuesta_lyapunov_20251112_143120.csv,compuesta,lyapunov,0.632769,10.148142,0.016322,1.075987,0.029700,0.022071,0.004700,28.554000,28.549000,572
compuesta_lyapunov_20251112_143445.csv,compuesta,lyapunov,0.646749,10.238002,0.018297,1.083448,0.034300,0.023743,0.008400,27.146000,27.145000,545
compuesta_lyapunov_20251112_143558.csv,compuesta,lyapunov,0.665334,10.413512,0.019247,1.073931,0.034400,0.024514,0.008400,27.084000,27.083000,543
compuesta_lyapunov_20251112_143709.csv,compuesta,lyapunov,0.648343,10.312473,0.018608,1.084053,0.033800,0.023884,0.009000,27.065000,27.064000,543
compuesta_lyapunov_20251112_143802.csv,compuesta,lyapunov,0.662425,10.337591,0.019038,1.051120,0.033800,0.024413,0.008600,27.060000,27.059000,543
compuesta_lyapunov_20251112_143853.csv,compuesta,lyapunov,0.670894,10.473507,0.019739,1.016833,0.034400,0.024850,0.008700,26.938000,26.937000,540
compuesta_lyapunov_20251112_143947.csv,compuesta,lyapunov,0.664937,10.394766,0.019242,1.063465,0.034100,0.024503,0.008200,27.093000,27.092000,543
compuesta_lyapunov_20251112_144134.csv,compuesta,lyapunov,0.678375,10.512695,0.019956,1.018966,0.034500,0.025127,0.008900,26.953000,26.952000,540
compuesta_lyapunov_20251112_144224.csv,compuesta,lyapunov,0.661911,10.298154,0.019213,1.063486,0.034400,0.024477,0.008400,27.006000,27.005000,541
compuesta_lyapunov_20251112_144316.csv,compuesta,lyapunov,0.667693,10.440408,0.019353,1.057483,0.034100,0.024643,0.008800,27.041000,27.040000,542
compuesta_lyapunov_20251112_144404.csv,compuesta,lyapunov,0.661724,10.389710,0.018825,1.106557,0.034200,0.024286,0.008800,27.178000,27.177000,545
compuesta_lyapunov_20251112_144452.csv,compuesta,lyapunov,0.665883,10.407169,0.019428,1.036243,0.034600,0.024577,0.008200,27.015000,27.014000,542
compuesta_lyapunov_20251112_144541.csv,compuesta,lyapunov,0.665957,10.382849,0.019308,1.071487,0.034200,0.024588,0.008600,27.008000,27.007000,542
compuesta_lyapunov_20251112_144630.csv,compuesta,lyapunov,0.664140,10.396685,0.019210,1.057968,0.034200,0.024510,0.008900,27.035000,27.034000,542
compuesta_lyapunov_20251112_144719.csv,compuesta,lyapunov,0.642873,10.176833,0.018113,1.095887,0.034100,0.023597,0.008600,27.197000,27.196000,545
compuesta_lyapunov_20251112_144814.csv,compuesta,lyapunov,0.672641,10.511677,0.019820,1.010397,0.034500,0.024916,0.008800,26.943000,26.942000,540
compuesta_lyapunov_20251112_145756.csv,compuesta,lyapunov,0.649249,10.187370,0.018564,1.118488,0.034300,0.023821,0.008000,27.189000,27.188000,545
compuesta_lyapunov_20251112_145844.csv,compuesta,lyapunov,0.656146,10.394525,0.019379,0.981837,0.034500,0.024396,0.009000,26.841000,26.840000,538
compuesta_lyapunov_20251112_145934.csv,compuesta,lyapunov,0.653456,10.216223,0.018655,1.096504,0.034100,0.024118,0.008700,27.052000,27.043000,542
compuesta_lyapunov_20251112_150023.csv,compuesta,lyapunov,0.643184,10.240615,0.018124,1.099666,0.034300,0.023604,0.008700,27.157000,27.156000,545
compuesta_lyapunov_20251112_150707.csv,compuesta,lyapunov,0.661637,10.350686,0.019125,1.067758,0.034300,0.024416,0.008500,27.051000,27.050000,542
compuesta_lyapunov_20251112_150758.csv,compuesta,lyapunov,0.657934,10.436868,0.019100,1.043238,0.034200,0.024279,0.009100,27.050000,27.049000,542
compuesta_lyapunov_20251112_150846.csv,compuesta,lyapunov,0.586574,9.255542,0.015824,1.644920,0.035200,0.020983,0.008600,27.540000,27.534000,535
compuesta_lyapunov_20251112_151124.csv,compuesta,lyapunov,0.643825,10.121611,0.018039,1.203665,0.033700,0.023943,0.008800,27.004000,27.003000,522
compuesta_lyapunov_20251112_151413.csv,compuesta,lyapunov,0.646779,10.256520,0.018416,1.099368,0.034400,0.023828,0.008500,27.105000,27.096000,543
compuesta_lyapunov_20251112_151524.csv,compuesta,lyapunov,0.665673,10.400049,0.019408,1.012080,0.034300,0.024707,0.008800,26.954000,26.927000,523
compuesta_lyapunov_20251112_151614.csv,compuesta,lyapunov,0.657466,10.280613,0.018860,1.090141,0.033900,0.024136,0.008000,27.155000,27.154000,541
compuesta_lyapunov_20251112_151705.csv,compuesta,lyapunov,0.661191,10.333999,0.019015,1.031765,0.034600,0.024319,0.009100,26.952000,26.938000,530
