t,x,y,ref_x,ref_y,err,v,w,voltage,current,percentage
0.117,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.003,12.040,0.000,85.550
0.118,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.003,12.040,0.000,85.550
0.134,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.002,12.040,0.000,85.550
0.223,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.002,11.800,0.000,72.220
0.258,0.0032,-0.0000,0.0032,0.0000,0.0000,0.180,-0.000,11.820,0.000,73.330
0.303,0.0098,-0.0001,0.0098,0.0000,0.0001,0.180,0.016,11.850,0.000,75.000
0.348,0.0172,-0.0002,0.0172,0.0000,0.0002,0.180,0.035,11.870,0.000,76.110
0.393,0.0289,-0.0004,0.0289,0.0000,0.0004,0.180,0.037,11.870,0.000,76.110
0.437,0.0366,-0.0006,0.0366,0.0000,0.0006,0.180,0.037,11.870,0.000,76.110
0.500,0.0443,-0.0007,0.0443,0.0000,0.0007,0.180,0.037,11.890,0.000,77.220
0.541,0.0558,-0.0009,0.0558,0.0000,0.0009,0.180,0.035,11.870,0.000,76.110
0.598,0.0634,-0.0010,0.0634,0.0000,0.0010,0.180,0.036,11.890,0.000,77.220
0.643,0.0712,-0.0012,0.0712,0.0000,0.0012,0.180,0.035,11.870,0.000,76.110
0.694,0.0827,-0.0013,0.0827,0.0000,0.0013,0.180,0.031,11.870,0.000,76.110
0.737,0.0904,-0.0015,0.0904,0.0000,0.0015,0.180,0.031,11.890,0.000,77.220
0.797,0.0981,-0.0016,0.0981,0.0000,0.0016,0.180,0.030,11.870,0.000,76.110
0.841,0.1096,-0.0017,0.1096,0.0000,0.0017,0.180,0.028,11.840,0.000,74.440
0.909,0.1170,-0.0018,0.1170,0.0000,0.0018,0.180,0.024,11.890,0.000,77.220
0.959,0.1248,-0.0019,0.1248,0.0000,0.0019,0.180,0.024,11.890,0.000,77.220
0.994,0.1361,-0.0020,0.1361,0.0000,0.0020,0.180,0.019,11.850,0.000,75.000
1.039,0.1436,-0.0020,0.1436,0.0000,0.0020,0.180,0.019,11.870,0.000,76.110
1.100,0.1514,-0.0021,0.1514,0.0000,0.0021,0.180,0.019,11.890,0.000,77.220
1.141,0.1630,-0.0022,0.1630,0.0000,0.0022,0.180,0.016,11.850,0.000,75.000
1.200,0.1706,-0.0022,0.1706,0.0000,0.0022,0.180,0.014,11.870,0.000,76.110
1.241,0.1785,-0.0022,0.1785,0.0000,0.0022,0.180,0.014,11.890,0.000,77.220
1.309,0.1903,-0.0023,0.1903,0.0000,0.0023,0.180,0.014,11.850,0.000,75.000
1.335,0.1979,-0.0024,0.1979,0.0000,0.0024,0.180,0.014,11.850,0.000,75.000
1.400,0.2059,-0.0024,0.2059,0.0000,0.0024,0.180,0.014,11.870,0.000,76.110
1.438,0.2175,-0.0025,0.2175,0.0000,0.0025,0.180,0.015,11.890,0.000,77.220
1.500,0.2251,-0.0025,0.2251,0.0000,0.0025,0.180,0.017,11.840,0.000,74.440
1.544,0.2328,-0.0026,0.2328,0.0000,0.0026,0.180,0.017,11.870,0.000,76.110
1.590,0.2442,-0.0027,0.2442,0.0000,0.0027,0.180,0.021,11.890,0.000,77.220
1.634,0.2520,-0.0027,0.2520,0.0000,0.0027,0.180,0.021,11.840,0.000,74.440
1.699,0.2594,-0.0028,0.2594,0.0000,0.0028,0.180,0.021,11.850,0.000,75.000
1.736,0.2711,-0.0029,0.2711,0.0000,0.0029,0.180,0.022,11.910,0.000,78.330
1.799,0.2790,-0.0030,0.2790,0.0000,0.0030,0.180,0.022,11.840,0.000,74.440
1.841,0.2863,-0.0031,0.2863,0.0000,0.0031,0.180,0.022,11.850,0.000,75.000
1.891,0.2980,-0.0032,0.2980,0.0000,0.0032,0.180,0.021,11.890,0.000,77.220
1.939,0.3058,-0.0032,0.3058,0.0000,0.0032,0.180,0.021,11.850,0.000,75.000
1.994,0.3133,-0.0033,0.3133,0.0000,0.0033,0.180,0.019,11.850,0.000,75.000
2.035,0.3247,-0.0033,0.3247,0.0000,0.0033,0.180,0.017,11.890,0.000,77.220
2.104,0.3325,-0.0034,0.3325,0.0000,0.0034,0.180,0.017,11.850,0.000,75.000
2.141,0.3399,-0.0034,0.3399,0.0000,0.0034,0.180,0.016,11.850,0.000,75.000
2.191,0.3514,-0.0035,0.3514,0.0000,0.0035,0.180,0.013,11.870,0.000,76.110
2.237,0.3591,-0.0035,0.3591,0.0000,0.0035,0.180,0.013,11.870,0.000,76.110
2.295,0.3668,-0.0035,0.3668,0.0000,0.0035,0.180,0.010,11.850,0.000,75.000
2.334,0.3784,-0.0036,0.3784,0.0000,0.0036,0.180,0.009,11.870,0.000,76.110
2.396,0.3863,-0.0036,0.3863,0.0000,0.0036,0.180,0.009,11.890,0.000,77.220
2.439,0.3940,-0.0036,0.3940,0.0000,0.0036,0.180,0.009,11.850,0.000,75.000
2.489,0.4058,-0.0036,0.4058,0.0000,0.0036,0.180,0.009,11.850,0.000,75.000
2.535,0.4136,-0.0036,0.4136,0.0000,0.0036,0.180,0.010,11.890,0.000,77.220
2.596,0.4213,-0.0036,0.4213,0.0000,0.0036,0.180,0.012,11.890,0.000,77.220
2.632,0.4329,-0.0037,0.4329,0.0000,0.0037,0.180,0.014,11.870,0.000,76.110
2.697,0.4406,-0.0037,0.4406,0.0000,0.0037,0.180,0.014,11.890,0.000,77.220
2.738,0.4482,-0.0037,0.4482,0.0000,0.0037,0.180,0.014,11.870,0.000,76.110
2.800,0.4597,-0.0038,0.4597,0.0000,0.0038,0.180,0.014,11.870,0.000,76.110
2.834,0.4673,-0.0038,0.4673,0.0000,0.0038,0.180,0.014,11.890,0.000,77.220
2.894,0.4751,-0.0039,0.4751,0.0000,0.0039,0.180,0.014,11.890,0.000,77.220
2.933,0.4867,-0.0039,0.4867,0.0000,0.0039,0.180,0.014,11.870,0.000,76.110
2.995,0.4942,-0.0039,0.4942,0.0000,0.0039,0.180,0.014,11.870,0.000,76.110
3.037,0.5020,-0.0040,0.5020,0.0000,0.0040,0.180,0.014,11.870,0.000,76.110
3.101,0.5136,-0.0040,0.5136,0.0000,0.0040,0.180,0.013,11.850,0.000,75.000
3.135,0.5211,-0.0040,0.5211,0.0000,0.0040,0.180,0.012,11.850,0.000,75.000
3.192,0.5288,-0.0040,0.5288,0.0000,0.0040,0.180,0.010,11.870,0.000,76.110
3.237,0.5402,-0.0040,0.5402,0.0000,0.0040,0.180,0.010,11.850,0.000,75.000
3.297,0.5478,-0.0040,0.5478,0.0000,0.0040,0.180,0.009,11.850,0.000,75.000
3.338,0.5588,-0.0040,0.5588,0.0000,0.0040,0.180,0.007,11.850,0.000,75.000
3.401,0.5665,-0.0040,0.5665,0.0000,0.0040,0.180,0.006,11.850,0.000,75.000
3.441,0.5742,-0.0040,0.5742,0.0000,0.0040,0.180,0.006,11.870,0.000,76.110
3.487,0.5858,-0.0040,0.5858,0.0000,0.0040,0.180,0.004,11.850,0.000,75.000
3.535,0.5936,-0.0040,0.5936,0.0000,0.0040,0.180,0.003,11.850,0.000,75.000
3.597,0.6015,-0.0040,0.6015,0.0000,0.0040,0.180,0.003,11.850,0.000,75.000
3.636,0.6132,-0.0040,0.6132,0.0000,0.0040,0.180,0.005,11.870,0.000,76.110
3.697,0.6209,-0.0040,0.6209,0.0000,0.0040,0.180,0.005,11.850,0.000,75.000
3.740,0.6283,-0.0040,0.6283,0.0000,0.0040,0.180,0.006,11.870,0.000,76.110
3.789,0.6399,-0.0040,0.6399,0.0000,0.0040,0.180,0.010,11.850,0.000,75.000
3.837,0.6476,-0.0040,0.6476,0.0000,0.0040,0.180,0.010,11.850,0.000,75.000
3.894,0.6552,-0.0040,0.6552,0.0000,0.0040,0.180,0.012,11.870,0.000,76.110
3.937,0.6667,-0.0040,0.6667,0.0000,0.0040,0.180,0.012,11.850,0.000,75.000
4.002,0.6743,-0.0040,0.6743,0.0000,0.0040,0.180,0.013,11.840,0.000,74.440
4.064,0.6820,-0.0041,0.6820,0.0000,0.0041,0.180,0.012,11.870,0.000,76.110
4.100,0.6935,-0.0041,0.6935,0.0000,0.0041,0.180,0.012,11.850,0.000,75.000
