t,x,y,ref_x,ref_y,err,v,w,voltage,current,percentage
0.009,-0.0014,0.0462,0.0000,0.0462,0.0014,0.018,0.900,12.110,0.000,89.440
0.050,-0.0014,0.0462,0.0000,0.0462,0.0014,0.018,0.900,12.110,0.000,89.440
0.397,-0.0014,0.0462,0.0000,0.0462,0.0014,0.018,0.900,12.090,0.000,88.330
0.399,-0.0014,0.0462,0.0000,0.0462,0.0014,0.018,0.900,12.130,0.000,90.550
0.399,-0.0014,0.0462,0.0000,0.0462,0.0014,0.018,0.900,12.130,0.000,90.550
0.400,-0.0014,0.0462,0.0000,0.0462,0.0014,0.018,0.900,12.110,0.000,89.440
0.400,-0.0014,0.0462,0.0000,0.0462,0.0014,0.018,0.900,12.130,0.000,90.550
0.401,-0.0014,0.0462,0.0000,0.0462,0.0014,0.018,0.900,12.130,0.000,90.550
0.412,-0.0014,0.0462,0.0000,0.0462,0.0014,0.018,0.900,12.110,0.000,89.440
0.455,-0.0014,0.0462,0.0000,0.0462,0.0014,0.020,0.990,12.040,0.000,85.550
0.503,-0.0014,0.0460,0.0000,0.0460,0.0014,0.020,0.990,12.040,0.000,85.550
0.548,-0.0014,0.0456,0.0000,0.0456,0.0014,0.020,0.999,12.060,0.000,86.660
0.609,-0.0014,0.0452,0.0000,0.0452,0.0014,0.020,0.999,12.060,0.000,86.660
0.649,-0.0013,0.0445,0.0000,0.0445,0.0013,0.020,1.000,12.060,0.000,86.660
0.711,-0.0012,0.0443,0.0000,0.0443,0.0012,0.020,1.000,12.040,0.000,85.550
0.752,-0.0011,0.0438,0.0000,0.0438,0.0011,0.020,1.000,12.040,0.000,85.550
0.814,-0.0009,0.0433,0.0000,0.0433,0.0009,0.020,1.000,12.060,0.000,86.660
0.848,-0.0008,0.0429,0.0000,0.0429,0.0008,0.020,1.000,12.060,0.000,86.660
0.905,-0.0007,0.0426,0.0000,0.0426,0.0007,0.020,1.000,12.040,0.000,85.550
0.947,-0.0004,0.0420,0.0000,0.0420,0.0004,0.020,1.000,12.040,0.000,85.550
1.014,-0.0002,0.0417,0.0000,0.0417,0.0002,0.020,1.000,12.060,0.000,86.660
1.051,0.0001,0.0412,0.0000,0.0412,0.0001,0.020,1.000,12.060,0.000,86.660
1.112,0.0003,0.0409,0.0000,0.0409,0.0003,0.020,1.000,12.060,0.000,86.660
1.156,0.0006,0.0404,0.0000,0.0404,0.0006,0.020,1.000,12.060,0.000,86.660
1.204,0.0010,0.0399,0.0000,0.0399,0.0010,0.020,1.000,12.060,0.000,86.660
1.249,0.0015,0.0394,0.0000,0.0394,0.0015,0.020,1.000,12.060,0.000,86.660
1.310,0.0017,0.0392,0.0000,0.0392,0.0017,0.020,1.000,12.060,0.000,86.660
1.351,0.0024,0.0386,0.0000,0.0386,0.0024,0.020,1.000,12.060,0.000,86.660
1.410,0.0027,0.0384,0.0000,0.0384,0.0027,0.020,1.000,12.060,0.000,86.660
1.456,0.0031,0.0380,0.0000,0.0380,0.0031,0.020,1.000,12.060,0.000,86.660
1.507,0.0037,0.0377,0.0000,0.0377,0.0037,0.020,1.000,12.060,0.000,86.660
1.549,0.0041,0.0374,0.0000,0.0374,0.0041,0.020,0.926,12.060,0.000,86.660
1.610,0.0044,0.0372,0.0000,0.0372,0.0044,0.020,0.926,12.060,0.000,86.660
1.649,0.0051,0.0369,0.0000,0.0369,0.0051,0.020,0.754,12.060,0.000,86.660
1.710,0.0054,0.0368,0.0000,0.0368,0.0054,0.020,0.754,12.060,0.000,86.660
