t,x,y,ref_x,ref_y,err,v,w,voltage,current,percentage
0.005,0.0048,0.0480,0.0000,0.0480,0.0048,0.000,1.000,12.090,0.000,88.330
0.049,0.0048,0.0480,0.0000,0.0480,0.0048,0.000,1.000,12.090,0.000,88.330
0.095,0.0048,0.0480,0.0000,0.0480,0.0048,0.000,1.000,12.020,0.000,84.440
0.153,0.0048,0.0478,0.0000,0.0478,0.0048,0.000,1.000,12.020,0.000,84.440
0.221,0.0048,0.0478,0.0000,0.0478,0.0048,0.000,1.000,12.040,0.000,85.550
0.256,0.0048,0.0479,0.0000,0.0479,0.0048,0.008,1.000,12.040,0.000,85.550
0.306,0.0048,0.0476,0.0000,0.0476,0.0048,0.015,1.000,12.020,0.000,84.440
0.345,0.0048,0.0477,0.0000,0.0477,0.0048,0.015,1.000,12.040,0.000,85.550
0.411,0.0048,0.0476,0.0000,0.0476,0.0048,0.019,1.000,12.040,0.000,85.550
0.456,0.0049,0.0474,0.0000,0.0474,0.0049,0.031,1.000,12.060,0.000,86.660
0.494,0.0050,0.0470,0.0000,0.0470,0.0050,0.031,1.000,12.040,0.000,85.550
0.555,0.0052,0.0463,0.0000,0.0463,0.0052,0.036,1.000,12.060,0.000,86.660
0.603,0.0057,0.0449,0.0000,0.0449,0.0057,0.043,1.000,12.040,0.000,85.550
0.644,0.0063,0.0437,0.0000,0.0437,0.0063,0.047,1.000,12.060,0.000,86.660
0.708,0.0069,0.0424,0.0000,0.0424,0.0069,0.059,1.000,12.040,0.000,85.550
0.748,0.0081,0.0403,0.0000,0.0403,0.0081,0.064,1.000,12.040,0.000,85.550
0.808,0.0092,0.0385,0.0000,0.0385,0.0092,0.068,1.000,12.060,0.000,86.660
0.855,0.0104,0.0368,0.0000,0.0368,0.0104,0.068,1.000,12.040,0.000,85.550
0.902,0.0125,0.0341,0.0000,0.0341,0.0125,0.075,1.000,12.060,0.000,86.660
0.961,0.0141,0.0321,0.0000,0.0321,0.0141,0.080,1.000,12.060,0.000,86.660
1.008,0.0160,0.0301,0.0000,0.0301,0.0160,0.091,1.000,12.080,0.000,87.770
1.051,0.0193,0.0269,0.0000,0.0269,0.0193,0.091,1.000,12.060,0.000,86.660
1.095,0.0218,0.0246,0.0000,0.0246,0.0218,0.096,1.000,12.080,0.000,87.770
1.151,0.0246,0.0224,0.0246,0.0000,0.0224,0.101,1.000,12.060,0.000,86.660
1.195,0.0292,0.0190,0.0292,0.0000,0.0190,0.107,1.000,12.060,0.000,86.660
1.244,0.0327,0.0167,0.0327,0.0000,0.0167,0.112,1.000,12.080,0.000,87.770
1.304,0.0364,0.0145,0.0364,0.0000,0.0145,0.116,1.000,12.080,0.000,87.770
1.342,0.0424,0.0113,0.0424,0.0000,0.0113,0.122,1.000,12.080,0.000,87.770
1.407,0.0466,0.0093,0.0466,0.0000,0.0093,0.131,0.659,12.080,0.000,87.770
1.452,0.0511,0.0074,0.0511,0.0000,0.0074,0.131,1.000,12.090,0.000,88.330
1.495,0.0579,0.0047,0.0579,0.0000,0.0047,0.136,1.000,12.090,0.000,88.330
1.552,0.0628,0.0031,0.0628,0.0000,0.0031,0.141,1.000,12.060,0.000,86.660
1.604,0.0680,0.0015,0.0680,0.0000,0.0015,0.145,1.000,12.090,0.000,88.330
1.644,0.0760,-0.0006,0.0760,0.0000,0.0006,0.148,1.000,12.090,0.000,88.330
1.707,0.0813,-0.0019,0.0813,0.0000,0.0019,0.156,-0.054,12.080,0.000,87.770
1.750,0.0869,-0.0029,0.0869,0.0000,0.0029,0.161,-0.630,12.080,0.000,87.770
1.809,0.0955,-0.0041,0.0955,0.0000,0.0041,0.165,-0.411,12.090,0.000,88.330
1.851,0.1010,-0.0047,0.1010,0.0000,0.0047,0.165,0.665,12.060,0.000,86.660
1.902,0.1071,-0.0052,0.1071,0.0000,0.0052,0.169,0.549,12.040,0.000,85.550
1.944,0.1173,-0.0057,0.1173,0.0000,0.0057,0.173,0.444,12.060,0.000,86.660
2.004,0.1241,-0.0059,0.1241,0.0000,0.0059,0.175,0.374,12.060,0.000,86.660
2.049,0.1314,-0.0060,0.1314,0.0000,0.0060,0.178,-0.102,12.060,0.000,86.660
2.109,0.1423,-0.0061,0.1423,0.0000,0.0061,0.180,-0.204,12.060,0.000,86.660
2.139,0.1497,-0.0060,0.1497,0.0000,0.0060,0.179,-0.176,12.040,0.000,85.550
2.198,0.1569,-0.0058,0.1569,0.0000,0.0058,0.177,-0.136,12.060,0.000,86.660
2.241,0.1677,-0.0055,0.1677,0.0000,0.0055,0.177,0.147,12.040,0.000,85.550
2.301,0.1750,-0.0053,0.1750,0.0000,0.0053,0.177,0.125,12.040,0.000,85.550
2.347,0.1824,-0.0050,0.1824,0.0000,0.0050,0.175,-0.159,12.060,0.000,86.660
2.395,0.1933,-0.0044,0.1933,0.0000,0.0044,0.175,0.075,12.040,0.000,85.550
