t,x,y,ref_x,ref_y,err,v,w,voltage,current,percentage
0.001,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.001,12.020,0.000,84.440
0.042,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.001,12.040,0.000,85.550
0.104,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.001,11.890,0.000,77.220
0.154,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.001,11.760,0.000,70.000
0.195,0.0064,-0.0000,0.0064,0.0000,0.0000,0.180,0.014,11.840,0.000,74.440
0.243,0.0134,-0.0001,0.0134,0.0000,0.0001,0.180,0.020,11.850,0.000,75.000
0.303,0.0210,-0.0002,0.0210,0.0000,0.0002,0.180,0.020,11.850,0.000,75.000
0.345,0.0327,-0.0004,0.0327,0.0000,0.0004,0.180,0.023,11.890,0.000,77.220
0.402,0.0403,-0.0005,0.0403,0.0000,0.0005,0.180,0.023,11.850,0.000,75.000
0.447,0.0480,-0.0006,0.0480,0.0000,0.0006,0.180,0.024,11.850,0.000,75.000
0.492,0.0594,-0.0008,0.0594,0.0000,0.0008,0.180,0.025,11.870,0.000,76.110
0.541,0.0672,-0.0009,0.0672,0.0000,0.0009,0.180,0.024,11.850,0.000,75.000
0.597,0.0748,-0.0010,0.0748,0.0000,0.0010,0.180,0.024,11.840,0.000,74.440
0.642,0.0864,-0.0011,0.0864,0.0000,0.0011,0.180,0.024,11.870,0.000,76.110
0.698,0.0940,-0.0012,0.0940,0.0000,0.0012,0.180,0.024,11.850,0.000,75.000
0.747,0.1015,-0.0013,0.1015,0.0000,0.0013,0.180,0.023,11.820,0.000,73.330
0.797,0.1129,-0.0014,0.1129,0.0000,0.0014,0.180,0.022,11.870,0.000,76.110
0.870,0.1206,-0.0015,0.1206,0.0000,0.0015,0.180,0.022,11.870,0.000,76.110
0.899,0.1321,-0.0016,0.1321,0.0000,0.0016,0.180,0.019,11.820,0.000,73.330
0.942,0.1395,-0.0016,0.1395,0.0000,0.0016,0.180,0.017,11.850,0.000,75.000
1.004,0.1473,-0.0016,0.1473,0.0000,0.0016,0.180,0.017,11.870,0.000,76.110
1.044,0.1590,-0.0017,0.1590,0.0000,0.0017,0.180,0.014,11.850,0.000,75.000
1.092,0.1666,-0.0017,0.1666,0.0000,0.0017,0.180,0.014,11.850,0.000,75.000
1.150,0.1745,-0.0017,0.1745,0.0000,0.0017,0.180,0.014,11.850,0.000,75.000
1.194,0.1862,-0.0018,0.1862,0.0000,0.0018,0.180,0.015,11.850,0.000,75.000
1.242,0.1937,-0.0018,0.1937,0.0000,0.0018,0.180,0.016,11.840,0.000,74.440
1.301,0.2016,-0.0018,0.2016,0.0000,0.0018,0.180,0.016,11.850,0.000,75.000
1.342,0.2133,-0.0019,0.2133,0.0000,0.0019,0.180,0.019,11.870,0.000,76.110
1.403,0.2209,-0.0019,0.2209,0.0000,0.0019,0.180,0.019,11.820,0.000,73.330
1.449,0.2284,-0.0020,0.2284,0.0000,0.0020,0.180,0.020,11.840,0.000,74.440
1.493,0.2398,-0.0021,0.2398,0.0000,0.0021,0.180,0.023,11.890,0.000,77.220
1.541,0.2476,-0.0021,0.2476,0.0000,0.0021,0.180,0.024,11.840,0.000,74.440
