t,x,y,ref_x,ref_y,err,v,w,voltage,current,percentage
0.026,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,0.004,12.040,0.000,85.550
0.064,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.002,11.820,0.000,73.330
0.121,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.001,11.740,0.000,68.880
0.161,0.0064,-0.0000,0.0064,0.0000,0.0000,0.180,0.008,11.760,0.000,70.000
0.221,0.0126,-0.0001,0.0126,0.0000,0.0001,0.179,0.020,11.820,0.000,73.330
0.268,0.0198,-0.0001,0.0198,0.0000,0.0001,0.179,-0.062,11.840,0.000,74.440
0.314,0.0308,-0.0002,0.0308,0.0000,0.0002,0.179,0.016,11.840,0.000,74.440
0.371,0.0381,-0.0002,0.0381,0.0000,0.0002,0.180,0.013,11.820,0.000,73.330
0.431,0.0454,-0.0002,0.0454,0.0000,0.0002,0.180,0.011,11.820,0.000,73.330
0.475,0.0560,-0.0002,0.0560,0.0000,0.0002,0.180,0.011,11.820,0.000,73.330
0.518,0.0628,-0.0002,0.0628,0.0000,0.0002,0.180,-0.005,11.820,0.000,73.330
0.561,0.0737,-0.0003,0.0737,0.0000,0.0003,0.180,0.009,11.820,0.000,73.330
0.618,0.0805,-0.0003,0.0805,0.0000,0.0003,0.180,-0.005,11.800,0.000,72.220
0.666,0.0877,-0.0003,0.0877,0.0000,0.0003,0.180,-0.006,11.820,0.000,73.330
0.711,0.0984,-0.0003,0.0984,0.0000,0.0003,0.180,0.005,11.820,0.000,73.330
0.757,0.1058,-0.0003,0.1058,0.0000,0.0003,0.180,0.006,11.840,0.000,74.440
0.844,0.1130,-0.0003,0.1130,0.0000,0.0003,0.180,0.005,11.820,0.000,73.330
0.855,0.1238,-0.0003,0.1238,0.0000,0.0003,0.180,-0.003,11.820,0.000,73.330
0.920,0.1312,-0.0003,0.1312,0.0000,0.0003,0.180,-0.010,11.840,0.000,74.440
0.971,0.1386,-0.0003,0.1386,0.0000,0.0003,0.180,0.002,11.820,0.000,73.330
1.011,0.1497,-0.0003,0.1497,0.0000,0.0003,0.180,0.002,11.840,0.000,74.440
1.067,0.1568,-0.0003,0.1568,0.0000,0.0003,0.180,0.009,11.800,0.000,72.220
1.111,0.1675,-0.0003,0.1675,0.0000,0.0003,0.180,0.004,11.800,0.000,72.220
1.158,0.1743,-0.0003,0.1743,0.0000,0.0003,0.180,0.017,11.820,0.000,73.330
1.217,0.1817,-0.0003,0.1817,0.0000,0.0003,0.180,0.018,11.800,0.000,72.220
1.260,0.1926,-0.0004,0.1926,0.0000,0.0004,0.180,0.019,11.800,0.000,72.220
1.320,0.1999,-0.0004,0.1999,0.0000,0.0004,0.180,0.016,11.800,0.000,72.220
1.366,0.2071,-0.0004,0.2071,0.0000,0.0004,0.180,0.034,11.820,0.000,73.330
1.413,0.2180,-0.0004,0.2180,0.0000,0.0004,0.180,0.012,11.820,0.000,73.330
1.454,0.2253,-0.0005,0.2253,0.0000,0.0005,0.180,0.013,11.820,0.000,73.330
1.519,0.2327,-0.0005,0.2327,0.0000,0.0005,0.180,-0.001,11.820,0.000,73.330
1.561,0.2436,-0.0005,0.2436,0.0000,0.0005,0.180,0.012,11.820,0.000,73.330
1.611,0.2509,-0.0005,0.2509,0.0000,0.0005,0.180,0.011,11.820,0.000,73.330
1.666,0.2582,-0.0005,0.2582,0.0000,0.0005,0.180,-0.000,11.820,0.000,73.330
1.714,0.2691,-0.0005,0.2691,0.0000,0.0005,0.180,0.009,11.820,0.000,73.330
1.754,0.2760,-0.0006,0.2760,0.0000,0.0006,0.180,0.009,11.820,0.000,73.330
1.820,0.2832,-0.0006,0.2832,0.0000,0.0006,0.180,0.000,11.820,0.000,73.330
1.862,0.2940,-0.0006,0.2940,0.0000,0.0006,0.180,0.007,11.820,0.000,73.330
1.921,0.3007,-0.0006,0.3007,0.0000,0.0006,0.180,0.007,11.800,0.000,72.220
1.964,0.3079,-0.0006,0.3079,0.0000,0.0006,0.180,0.007,11.820,0.000,73.330
2.010,0.3184,-0.0006,0.3184,0.0000,0.0006,0.180,0.002,11.820,0.000,73.330
2.142,0.3257,-0.0006,0.3257,0.0000,0.0006,0.180,0.006,11.820,0.000,73.330
2.338,0.3366,-0.0006,0.3366,0.0000,0.0006,0.180,0.019,11.820,0.000,73.330
2.339,0.3440,-0.0006,0.3440,0.0000,0.0006,0.180,0.019,11.820,0.000,73.330
2.339,0.3513,-0.0006,0.3513,0.0000,0.0006,0.180,0.019,11.820,0.000,73.330
2.341,0.3624,-0.0007,0.3624,0.0000,0.0007,0.180,0.019,11.820,0.000,73.330
2.342,0.3697,-0.0007,0.3697,0.0000,0.0007,0.180,0.019,11.820,0.000,73.330
2.368,0.3770,-0.0007,0.3770,0.0000,0.0007,0.180,0.037,11.820,0.000,73.330
2.425,0.3876,-0.0007,0.3876,0.0000,0.0007,0.180,0.013,11.820,0.000,73.330
2.631,0.3946,-0.0007,0.3946,0.0000,0.0007,0.180,0.015,11.840,0.000,74.440
2.691,0.4019,-0.0008,0.4019,0.0000,0.0008,0.180,0.016,11.840,0.000,74.440
2.694,0.4127,-0.0008,0.4127,0.0000,0.0008,0.180,0.016,11.820,0.000,73.330
2.697,0.4199,-0.0008,0.4199,0.0000,0.0008,0.179,0.035,11.850,0.000,75.000
2.698,0.4271,-0.0009,0.4271,0.0000,0.0009,0.179,0.035,11.850,0.000,75.000
2.733,0.4379,-0.0009,0.4379,0.0000,0.0009,0.179,0.018,11.820,0.000,73.330
2.773,0.4452,-0.0009,0.4452,0.0000,0.0009,0.180,0.018,11.820,0.000,73.330
2.815,0.4558,-0.0009,0.4558,0.0000,0.0009,0.180,0.016,11.820,0.000,73.330
2.855,0.4629,-0.0010,0.4629,0.0000,0.0010,0.180,0.007,11.820,0.000,73.330
2.917,0.4701,-0.0010,0.4701,0.0000,0.0010,0.180,-0.002,11.820,0.000,73.330
2.957,0.4811,-0.0010,0.4811,0.0000,0.0010,0.180,0.004,11.820,0.000,73.330
3.007,0.4883,-0.0010,0.4883,0.0000,0.0010,0.180,0.002,11.820,0.000,73.330
3.069,0.4955,-0.0010,0.4955,0.0000,0.0010,0.180,-0.018,11.820,0.000,73.330
3.126,0.5063,-0.0010,0.5063,0.0000,0.0010,0.180,-0.007,11.820,0.000,73.330
3.171,0.5131,-0.0010,0.5131,0.0000,0.0010,0.180,0.006,11.820,0.000,73.330
3.215,0.5235,-0.0010,0.5235,0.0000,0.0010,0.180,0.005,11.800,0.000,72.220
3.270,0.5308,-0.0010,0.5308,0.0000,0.0010,0.180,0.006,11.820,0.000,73.330
3.318,0.5376,-0.0010,0.5376,0.0000,0.0010,0.180,-0.003,11.820,0.000,73.330
3.361,0.5486,-0.0010,0.5486,0.0000,0.0010,0.180,0.003,11.820,0.000,73.330
3.418,0.5558,-0.0010,0.5558,0.0000,0.0010,0.180,0.006,11.850,0.000,75.000
3.461,0.5627,-0.0010,0.5627,0.0000,0.0010,0.180,0.003,11.820,0.000,73.330
3.527,0.5738,-0.0010,0.5738,0.0000,0.0010,0.180,0.014,11.820,0.000,73.330
3.579,0.5808,-0.0010,0.5808,0.0000,0.0010,0.180,0.023,11.840,0.000,74.440
3.616,0.5918,-0.0010,0.5918,0.0000,0.0010,0.180,0.017,11.820,0.000,73.330
3.665,0.5991,-0.0010,0.5991,0.0000,0.0010,0.180,0.025,11.840,0.000,74.440
3.720,0.6065,-0.0010,0.6065,0.0000,0.0010,0.180,0.029,11.840,0.000,74.440
3.764,0.6173,-0.0010,0.6173,0.0000,0.0010,0.180,0.012,11.840,0.000,74.440
3.809,0.6245,-0.0010,0.6245,0.0000,0.0010,0.180,0.026,11.840,0.000,74.440
3.867,0.6318,-0.0010,0.6318,0.0000,0.0010,0.180,0.011,11.840,0.000,74.440
3.913,0.6427,-0.0011,0.6427,0.0000,0.0011,0.180,0.014,11.820,0.000,73.330
3.956,0.6500,-0.0011,0.6500,0.0000,0.0011,0.180,0.007,11.820,0.000,73.330
4.016,0.6570,-0.0011,0.6570,0.0000,0.0011,0.180,0.000,11.820,0.000,73.330
4.059,0.6679,-0.0011,0.6679,0.0000,0.0011,0.180,0.000,11.820,0.000,73.330
4.118,0.6752,-0.0011,0.6752,0.0000,0.0011,0.180,-0.000,11.820,0.000,73.330
4.161,0.6825,-0.0011,0.6825,0.0000,0.0011,0.180,0.009,11.820,0.000,73.330
4.210,0.6929,-0.0011,0.6929,0.0000,0.0011,0.180,-0.004,11.800,0.000,72.220
4.268,0.6997,-0.0011,0.6997,0.0000,0.0011,0.180,-0.001,11.820,0.000,73.330
4.312,0.7105,-0.0011,0.7105,0.0000,0.0011,0.180,0.006,11.820,0.000,73.330
4.359,0.7172,-0.0011,0.7172,0.0000,0.0011,0.180,0.001,11.800,0.000,72.220
4.418,0.7244,-0.0011,0.7244,0.0000,0.0011,0.180,-0.004,11.820,0.000,73.330
4.460,0.7353,-0.0011,0.7353,0.0000,0.0011,0.180,0.005,11.840,0.000,74.440
4.528,0.7425,-0.0011,0.7425,0.0000,0.0011,0.180,-0.004,11.820,0.000,73.330
4.565,0.7499,-0.0011,0.7499,0.0000,0.0011,0.180,0.002,11.820,0.000,73.330
4.610,0.7606,-0.0010,0.7606,0.0000,0.0010,0.180,-0.002,11.800,0.000,72.220
4.679,0.7679,-0.0010,0.7679,0.0000,0.0010,0.180,0.012,11.800,0.000,72.220
4.731,0.7786,-0.0010,0.7786,0.0000,0.0010,0.180,0.003,11.820,0.000,73.330
4.755,0.7861,-0.0010,0.7861,0.0000,0.0010,0.180,0.004,11.840,0.000,74.440
4.821,0.7934,-0.0010,0.7934,0.0000,0.0010,0.180,0.004,11.840,0.000,74.440
4.859,0.8040,-0.0010,0.8040,0.0000,0.0010,0.180,0.020,11.840,0.000,74.440
4.918,0.8110,-0.0010,0.8110,0.0000,0.0010,0.180,0.018,11.800,0.000,72.220
4.965,0.8181,-0.0010,0.8181,0.0000,0.0010,0.180,0.009,11.820,0.000,73.330
5.028,0.8286,-0.0010,0.8286,0.0000,0.0010,0.180,0.021,11.820,0.000,73.330
5.067,0.8359,-0.0010,0.8359,0.0000,0.0010,0.180,0.004,11.840,0.000,74.440
5.114,0.8463,-0.0010,0.8463,0.0000,0.0010,0.180,0.011,11.820,0.000,73.330
5.155,0.8537,-0.0010,0.8537,0.0000,0.0010,0.180,0.010,11.850,0.000,75.000
5.221,0.8610,-0.0010,0.8610,0.0000,0.0010,0.180,0.010,11.800,0.000,72.220
5.261,0.8718,-0.0010,0.8718,0.0000,0.0010,0.180,0.008,11.820,0.000,73.330
5.335,0.8791,-0.0010,0.8791,0.0000,0.0010,0.180,0.004,11.840,0.000,74.440
5.366,0.8863,-0.0010,0.8863,0.0000,0.0010,0.180,-0.001,11.800,0.000,72.220
5.414,0.8971,-0.0010,0.8971,0.0000,0.0010,0.180,0.007,11.820,0.000,73.330
5.459,0.9044,-0.0010,0.9044,0.0000,0.0010,0.180,0.005,11.820,0.000,73.330
5.528,0.9117,-0.0010,0.9117,0.0000,0.0010,0.180,-0.010,11.800,0.000,72.220
5.565,0.9224,-0.0010,0.9224,0.0000,0.0010,0.180,0.004,11.820,0.000,73.330
5.607,0.9296,-0.0010,0.9296,0.0000,0.0010,0.180,-0.005,11.820,0.000,73.330
5.670,0.9368,-0.0010,0.9368,0.0000,0.0010,0.180,0.003,11.800,0.000,72.220
5.714,0.9476,-0.0010,0.9476,0.0000,0.0010,0.180,0.001,11.820,0.000,73.330
5.774,0.9550,-0.0009,0.9550,0.0000,0.0009,0.180,0.001,11.820,0.000,73.330
5.819,0.9623,-0.0009,0.9623,0.0000,0.0009,0.180,-0.014,11.780,0.000,71.110
5.864,0.9734,-0.0009,0.9734,0.0000,0.0009,0.180,-0.002,11.840,0.000,74.440
5.921,0.9809,-0.0009,0.9809,0.0000,0.0009,0.180,-0.001,11.840,0.000,74.440
5.981,0.9882,-0.0008,0.9882,0.0000,0.0008,0.180,-0.001,11.800,0.000,72.220
6.016,0.9993,-0.0008,0.9993,0.0000,0.0008,0.180,0.008,11.820,0.000,73.330
6.060,1.0067,-0.0008,1.0067,0.0000,0.0008,0.180,0.015,11.840,0.000,74.440
6.121,1.0138,-0.0008,1.0138,0.0000,0.0008,0.180,0.002,11.820,0.000,73.330
6.161,1.0248,-0.0008,1.0248,0.0000,0.0008,0.180,0.002,11.840,0.000,74.440
6.277,1.0321,-0.0008,1.0321,0.0000,0.0008,0.180,0.023,11.820,0.000,73.330
6.278,1.0392,-0.0008,1.0392,0.0000,0.0008,0.180,0.023,11.820,0.000,73.330
6.316,1.0501,-0.0008,1.0501,0.0000,0.0008,0.180,0.000,11.840,0.000,74.440
6.358,1.0571,-0.0007,1.0571,0.0000,0.0007,0.180,0.002,11.820,0.000,73.330
6.424,1.0643,-0.0007,1.0643,0.0000,0.0007,0.180,0.005,11.800,0.000,72.220
6.457,1.0748,-0.0007,1.0748,0.0000,0.0007,0.180,0.014,11.840,0.000,74.440
6.520,1.0822,-0.0007,1.0822,0.0000,0.0007,0.180,0.007,11.820,0.000,73.330
6.564,1.0894,-0.0007,1.0894,0.0000,0.0007,0.180,0.005,11.840,0.000,74.440
6.609,1.1004,-0.0007,1.1004,0.0000,0.0007,0.180,0.004,11.820,0.000,73.330
6.668,1.1075,-0.0007,1.1075,0.0000,0.0007,0.180,-0.002,11.820,0.000,73.330
6.720,1.1147,-0.0007,1.1147,0.0000,0.0007,0.180,-0.012,11.800,0.000,72.220
6.758,1.1255,-0.0007,1.1255,0.0000,0.0007,0.180,-0.003,11.840,0.000,74.440
6.821,1.1327,-0.0007,1.1327,0.0000,0.0007,0.180,0.001,11.800,0.000,72.220
6.862,1.1398,-0.0006,1.1398,0.0000,0.0006,0.180,0.001,11.840,0.000,74.440
6.907,1.1504,-0.0006,1.1504,0.0000,0.0006,0.180,-0.014,11.820,0.000,73.330
6.954,1.1576,-0.0006,1.1576,0.0000,0.0006,0.180,-0.001,11.820,0.000,73.330
7.017,1.1649,-0.0006,1.1649,0.0000,0.0006,0.180,-0.002,11.820,0.000,73.330
7.081,1.1761,-0.0005,1.1761,0.0000,0.0005,0.180,-0.003,11.840,0.000,74.440
7.122,1.1834,-0.0005,1.1834,0.0000,0.0005,0.180,-0.004,11.840,0.000,74.440
7.159,1.1944,-0.0005,1.1944,0.0000,0.0005,0.180,0.024,11.840,0.000,74.440
7.208,1.2020,-0.0005,1.2020,0.0000,0.0005,0.180,0.013,11.840,0.000,74.440
7.271,1.2093,-0.0005,1.2093,0.0000,0.0005,0.180,0.001,11.820,0.000,73.330
7.333,1.2202,-0.0005,1.2202,0.0000,0.0005,0.180,0.003,11.840,0.000,74.440
7.356,1.2276,-0.0005,1.2276,0.0000,0.0005,0.180,0.012,11.840,0.000,74.440
7.418,1.2348,-0.0005,1.2348,0.0000,0.0005,0.180,0.018,11.800,0.000,72.220
7.461,1.2420,-0.0005,1.2420,0.0000,0.0005,0.180,0.007,11.840,0.000,74.440
7.511,1.2530,-0.0005,1.2530,0.0000,0.0005,0.180,0.009,11.840,0.000,74.440
7.569,1.2601,-0.0005,1.2601,0.0000,0.0005,0.176,0.026,11.820,0.000,73.330
7.617,1.2675,-0.0005,1.2675,0.0000,0.0005,0.173,0.013,11.840,0.000,74.440
7.655,1.2785,-0.0005,1.2785,0.0000,0.0005,0.170,-0.004,11.840,0.000,74.440
7.720,1.2856,-0.0005,1.2856,0.0000,0.0005,0.170,0.010,11.820,0.000,73.330
7.836,1.2931,-0.0005,1.2931,0.0000,0.0005,0.164,0.003,11.840,0.000,74.440
7.866,1.3037,-0.0005,1.3037,0.0000,0.0005,0.161,-0.016,11.820,0.000,73.330
7.917,1.3103,-0.0005,1.3103,0.0000,0.0005,0.158,0.012,11.820,0.000,73.330
7.937,1.3171,-0.0005,1.3171,0.0000,0.0005,0.156,-0.026,11.850,0.000,75.000
7.977,1.3273,-0.0005,1.3273,0.0000,0.0005,0.152,-0.031,11.780,0.000,71.110
8.031,1.3340,-0.0005,1.3340,0.0000,0.0005,0.152,0.001,11.840,0.000,74.440
8.076,1.3438,-0.0005,1.3438,0.0000,0.0005,0.146,-0.018,11.820,0.000,73.330
8.123,1.3503,-0.0004,1.3503,0.0000,0.0004,0.146,-0.003,11.800,0.000,72.220
8.173,1.3564,-0.0004,1.3564,0.0000,0.0004,0.144,-0.002,11.820,0.000,73.330
8.222,1.3655,-0.0004,1.3655,0.0000,0.0004,0.142,-0.003,11.780,0.000,71.110
8.255,1.3715,-0.0004,1.3715,0.0000,0.0004,0.138,-0.003,11.800,0.000,72.220
8.318,1.3773,-0.0003,1.3773,0.0000,0.0003,0.134,-0.024,11.780,0.000,71.110
8.358,1.3861,-0.0003,1.3861,0.0000,0.0003,0.131,-0.008,11.800,0.000,72.220
8.417,1.3917,-0.0003,1.3917,0.0000,0.0003,0.129,-0.007,11.800,0.000,72.220
