t,x,y,ref_x,ref_y,err,v,w,voltage,current,percentage
0.120,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.006,12.000,0.000,83.330
0.121,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.006,12.000,0.000,83.330
0.138,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.006,12.000,0.000,83.330
0.202,-0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.006,11.620,0.000,62.220
0.242,0.0031,-0.0000,0.0031,0.0000,0.0000,0.180,-0.004,11.710,0.000,67.220
0.355,0.0096,-0.0000,0.0096,0.0000,0.0000,0.180,0.023,11.780,0.000,71.110
0.356,0.0170,-0.0001,0.0170,0.0000,0.0001,0.180,0.023,11.780,0.000,71.110
0.402,0.0287,-0.0002,0.0287,0.0000,0.0002,0.180,0.023,11.760,0.000,70.000
0.438,0.0366,-0.0003,0.0366,0.0000,0.0003,0.180,0.023,11.780,0.000,71.110
0.499,0.0445,-0.0004,0.0445,0.0000,0.0004,0.180,0.023,11.780,0.000,71.110
0.538,0.0562,-0.0005,0.0562,0.0000,0.0005,0.180,0.021,11.780,0.000,71.110
0.609,0.0635,-0.0006,0.0635,0.0000,0.0006,0.180,0.019,11.760,0.000,70.000
0.651,0.0713,-0.0007,0.0713,0.0000,0.0007,0.180,0.018,11.760,0.000,70.000
0.691,0.0828,-0.0008,0.0828,0.0000,0.0008,0.180,0.018,11.760,0.000,70.000
0.737,0.0905,-0.0009,0.0905,0.0000,0.0009,0.180,0.018,11.760,0.000,70.000
0.795,0.0982,-0.0009,0.0982,0.0000,0.0009,0.180,0.018,11.760,0.000,70.000
0.852,0.1096,-0.0010,0.1096,0.0000,0.0010,0.180,0.018,11.760,0.000,70.000
0.899,0.1173,-0.0011,0.1173,0.0000,0.0011,0.180,0.018,11.760,0.000,70.000
0.943,0.1250,-0.0011,0.1250,0.0000,0.0011,0.180,0.018,11.760,0.000,70.000
0.996,0.1365,-0.0012,0.1365,0.0000,0.0012,0.180,0.018,11.760,0.000,70.000
1.038,0.1443,-0.0013,0.1443,0.0000,0.0013,0.180,0.018,11.760,0.000,70.000
1.087,0.1519,-0.0014,0.1519,0.0000,0.0014,0.180,0.018,11.760,0.000,70.000
1.135,0.1631,-0.0014,0.1631,0.0000,0.0014,0.180,0.015,11.760,0.000,70.000
1.201,0.1707,-0.0015,0.1707,0.0000,0.0015,0.180,0.015,11.780,0.000,71.110
1.255,0.1820,-0.0015,0.1820,0.0000,0.0015,0.180,0.013,11.760,0.000,70.000
1.305,0.1897,-0.0016,0.1897,0.0000,0.0016,0.180,0.013,11.780,0.000,71.110
