t,x,y,ref_x,ref_y,err,v,w,voltage,current,percentage
0.051,0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.003,12.020,0.000,84.440
0.095,0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.003,12.020,0.000,84.440
0.407,0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.003,12.040,0.000,85.550
0.407,0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.003,12.020,0.000,84.440
0.408,0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.003,12.020,0.000,84.440
0.408,0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.003,12.020,0.000,84.440
0.409,0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.003,12.020,0.000,84.440
0.409,0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.003,12.020,0.000,84.440
0.442,0.0000,-0.0000,0.0000,0.0000,0.0000,0.144,-0.003,12.020,0.000,84.440
0.488,0.0000,0.0000,0.0000,0.0000,0.0000,0.173,-0.003,11.850,0.000,75.000
0.556,0.0006,0.0000,0.0006,0.0000,0.0000,0.179,0.002,11.740,0.000,68.880
0.589,0.0048,-0.0000,0.0048,0.0000,0.0000,0.179,0.002,11.760,0.000,70.000
0.636,0.0108,-0.0000,0.0108,0.0000,0.0000,0.179,0.002,11.800,0.000,72.220
0.682,0.0214,-0.0001,0.0214,0.0000,0.0001,0.180,0.004,11.820,0.000,73.330
0.741,0.0288,-0.0002,0.0288,0.0000,0.0002,0.180,0.004,11.820,0.000,73.330
0.786,0.0359,-0.0002,0.0359,0.0000,0.0002,0.180,0.005,11.800,0.000,72.220
0.843,0.0469,-0.0003,0.0469,0.0000,0.0003,0.180,0.005,11.820,0.000,73.330
0.874,0.0542,-0.0003,0.0542,0.0000,0.0003,0.180,0.005,11.820,0.000,73.330
0.935,0.0614,-0.0003,0.0614,0.0000,0.0003,0.180,0.005,11.820,0.000,73.330
0.977,0.0723,-0.0004,0.0723,0.0000,0.0004,0.180,0.005,11.820,0.000,73.330
1.038,0.0797,-0.0005,0.0797,0.0000,0.0005,0.180,0.005,11.820,0.000,73.330
1.091,0.0869,-0.0005,0.0869,0.0000,0.0005,0.180,0.007,11.820,0.000,73.330
1.179,0.0977,-0.0006,0.0977,0.0000,0.0006,0.180,0.008,11.800,0.000,72.220
1.180,0.1050,-0.0007,0.1050,0.0000,0.0007,0.180,0.008,11.800,0.000,72.220
1.235,0.1122,-0.0008,0.1122,0.0000,0.0008,0.180,0.008,11.800,0.000,72.220
1.279,0.1231,-0.0009,0.1231,0.0000,0.0009,0.180,0.009,11.820,0.000,73.330
1.334,0.1303,-0.0010,0.1303,0.0000,0.0010,0.180,0.009,11.820,0.000,73.330
1.383,0.1375,-0.0011,0.1375,0.0000,0.0011,0.180,0.010,11.820,0.000,73.330
1.432,0.1483,-0.0012,0.1483,0.0000,0.0012,0.180,0.010,11.820,0.000,73.330
1.477,0.1556,-0.0013,0.1556,0.0000,0.0013,0.180,0.011,11.820,0.000,73.330
1.532,0.1627,-0.0014,0.1627,0.0000,0.0014,0.180,0.011,11.820,0.000,73.330
1.576,0.1736,-0.0015,0.1736,0.0000,0.0015,0.180,0.011,11.820,0.000,73.330
1.636,0.1808,-0.0016,0.1808,0.0000,0.0016,0.180,0.011,11.820,0.000,73.330
1.759,0.1880,-0.0017,0.1880,0.0000,0.0017,0.180,0.010,11.840,0.000,74.440
1.760,0.1989,-0.0018,0.1989,0.0000,0.0018,0.180,0.010,11.820,0.000,73.330
1.778,0.2061,-0.0019,0.2061,0.0000,0.0019,0.180,0.010,11.820,0.000,73.330
1.832,0.2134,-0.0020,0.2134,0.0000,0.0020,0.180,0.010,11.820,0.000,73.330
1.880,0.2243,-0.0021,0.2243,0.0000,0.0021,0.180,0.009,11.820,0.000,73.330
1.943,0.2315,-0.0022,0.2315,0.0000,0.0022,0.180,0.009,11.820,0.000,73.330
1.993,0.2424,-0.0022,0.2424,0.0000,0.0022,0.180,0.007,11.800,0.000,72.220
2.046,0.2498,-0.0023,0.2498,0.0000,0.0023,0.180,0.007,11.800,0.000,72.220
2.088,0.2571,-0.0023,0.2571,0.0000,0.0023,0.180,0.007,11.820,0.000,73.330
2.152,0.2680,-0.0024,0.2680,0.0000,0.0024,0.180,0.008,11.820,0.000,73.330
2.177,0.2752,-0.0025,0.2752,0.0000,0.0025,0.180,0.008,11.820,0.000,73.330
2.241,0.2826,-0.0026,0.2826,0.0000,0.0026,0.180,0.008,11.820,0.000,73.330
2.278,0.2934,-0.0027,0.2934,0.0000,0.0027,0.180,0.010,11.820,0.000,73.330
2.327,0.3006,-0.0028,0.3006,0.0000,0.0028,0.180,0.010,11.820,0.000,73.330
2.415,0.3079,-0.0029,0.3079,0.0000,0.0029,0.180,0.011,11.820,0.000,73.330
2.435,0.3188,-0.0030,0.3188,0.0000,0.0030,0.180,0.011,11.820,0.000,73.330
2.479,0.3261,-0.0031,0.3261,0.0000,0.0031,0.180,0.013,11.820,0.000,73.330
2.536,0.3334,-0.0032,0.3334,0.0000,0.0032,0.180,0.013,11.820,0.000,73.330
2.577,0.3441,-0.0034,0.3441,0.0000,0.0034,0.180,0.014,11.820,0.000,73.330
2.651,0.3514,-0.0035,0.3514,0.0000,0.0035,0.180,0.014,11.840,0.000,74.440
2.686,0.3586,-0.0036,0.3586,0.0000,0.0036,0.180,0.014,11.820,0.000,73.330
2.752,0.3694,-0.0038,0.3694,0.0000,0.0038,0.180,0.014,11.820,0.000,73.330
2.778,0.3767,-0.0039,0.3767,0.0000,0.0039,0.180,0.014,11.820,0.000,73.330
2.910,0.3839,-0.0040,0.3839,0.0000,0.0040,0.180,0.014,11.820,0.000,73.330
2.911,0.3947,-0.0041,0.3947,0.0000,0.0041,0.180,0.014,11.820,0.000,73.330
2.956,0.4019,-0.0042,0.4019,0.0000,0.0042,0.180,0.014,11.820,0.000,73.330
2.983,0.4092,-0.0043,0.4092,0.0000,0.0043,0.180,0.014,11.820,0.000,73.330
3.039,0.4201,-0.0045,0.4201,0.0000,0.0045,0.180,0.014,11.820,0.000,73.330
3.079,0.4273,-0.0046,0.4273,0.0000,0.0046,0.180,0.012,11.820,0.000,73.330
3.133,0.4346,-0.0047,0.4346,0.0000,0.0047,0.180,0.012,11.820,0.000,73.330
3.177,0.4455,-0.0048,0.4455,0.0000,0.0048,0.180,0.011,11.820,0.000,73.330
3.238,0.4528,-0.0048,0.4528,0.0000,0.0048,0.180,0.011,11.840,0.000,74.440
3.283,0.4601,-0.0049,0.4601,0.0000,0.0049,0.180,0.010,11.800,0.000,72.220
3.361,0.4710,-0.0050,0.4710,0.0000,0.0050,0.180,0.010,11.840,0.000,74.440
3.379,0.4783,-0.0050,0.4783,0.0000,0.0050,0.180,0.010,11.840,0.000,74.440
3.444,0.4856,-0.0051,0.4856,0.0000,0.0051,0.180,0.010,11.820,0.000,73.330
3.473,0.4964,-0.0052,0.4964,0.0000,0.0052,0.180,0.011,11.820,0.000,73.330
3.541,0.5038,-0.0053,0.5038,0.0000,0.0053,0.180,0.011,11.840,0.000,74.440
3.582,0.5147,-0.0054,0.5147,0.0000,0.0054,0.180,0.012,11.820,0.000,73.330
3.646,0.5219,-0.0055,0.5219,0.0000,0.0055,0.180,0.012,11.820,0.000,73.330
3.686,0.5292,-0.0056,0.5292,0.0000,0.0056,0.180,0.013,11.840,0.000,74.440
3.734,0.5401,-0.0057,0.5401,0.0000,0.0057,0.180,0.013,11.800,0.000,72.220
3.788,0.5473,-0.0058,0.5473,0.0000,0.0058,0.180,0.013,11.820,0.000,73.330
3.839,0.5546,-0.0059,0.5546,0.0000,0.0059,0.180,0.013,11.840,0.000,74.440
3.879,0.5654,-0.0060,0.5654,0.0000,0.0060,0.180,0.014,11.800,0.000,72.220
3.940,0.5725,-0.0061,0.5725,0.0000,0.0061,0.180,0.014,11.820,0.000,73.330
3.996,0.5799,-0.0062,0.5799,0.0000,0.0062,0.180,0.014,11.840,0.000,74.440
4.031,0.5907,-0.0063,0.5907,0.0000,0.0063,0.180,0.014,11.820,0.000,73.330
4.078,0.5978,-0.0064,0.5978,0.0000,0.0064,0.180,0.014,11.820,0.000,73.330
4.142,0.6051,-0.0065,0.6051,0.0000,0.0065,0.180,0.014,11.820,0.000,73.330
