t,x,y,ref_x,ref_y,err,v,w,voltage,current,percentage
0.031,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.001,12.000,0.000,83.330
0.071,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.001,12.040,0.000,85.550
0.132,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.000,11.690,0.000,66.110
0.179,0.0009,-0.0000,0.0009,0.0000,0.0000,0.180,0.013,11.760,0.000,70.000
0.221,0.0097,-0.0001,0.0097,0.0000,0.0001,0.180,0.013,11.800,0.000,72.220
0.271,0.0170,-0.0002,0.0170,0.0000,0.0002,0.180,0.023,11.840,0.000,74.440
0.326,0.0247,-0.0004,0.0247,0.0000,0.0004,0.180,0.030,11.800,0.000,72.220
0.381,0.0363,-0.0006,0.0363,0.0000,0.0006,0.180,0.031,11.820,0.000,73.330
0.434,0.0441,-0.0008,0.0441,0.0000,0.0008,0.180,0.031,11.820,0.000,73.330
0.473,0.0518,-0.0009,0.0518,0.0000,0.0009,0.180,0.031,11.820,0.000,73.330
0.523,0.0634,-0.0011,0.0634,0.0000,0.0011,0.180,0.031,11.820,0.000,73.330
0.565,0.0711,-0.0012,0.0711,0.0000,0.0012,0.180,0.031,11.820,0.000,73.330
0.625,0.0788,-0.0013,0.0788,0.0000,0.0013,0.180,0.030,11.820,0.000,73.330
0.667,0.0903,-0.0015,0.0903,0.0000,0.0015,0.180,0.030,11.820,0.000,73.330
0.728,0.0978,-0.0016,0.0978,0.0000,0.0016,0.180,0.029,11.800,0.000,72.220
0.773,0.1055,-0.0017,0.1055,0.0000,0.0017,0.180,0.029,11.800,0.000,72.220
0.819,0.1169,-0.0019,0.1169,0.0000,0.0019,0.180,0.028,11.820,0.000,73.330
0.868,0.1245,-0.0019,0.1245,0.0000,0.0019,0.180,0.027,11.820,0.000,73.330
0.923,0.1322,-0.0020,0.1322,0.0000,0.0020,0.180,0.026,11.800,0.000,72.220
0.965,0.1438,-0.0021,0.1438,0.0000,0.0021,0.180,0.025,11.840,0.000,74.440
1.029,0.1516,-0.0022,0.1516,0.0000,0.0022,0.180,0.023,11.820,0.000,73.330
1.073,0.1594,-0.0022,0.1594,0.0000,0.0022,0.180,0.023,11.800,0.000,72.220
1.116,0.1710,-0.0023,0.1710,0.0000,0.0023,0.180,0.020,11.840,0.000,74.440
1.176,0.1788,-0.0023,0.1788,0.0000,0.0023,0.180,0.018,11.840,0.000,74.440
1.229,0.1903,-0.0024,0.1903,0.0000,0.0024,0.180,0.017,11.820,0.000,73.330
1.270,0.1978,-0.0024,0.1978,0.0000,0.0024,0.180,0.017,11.820,0.000,73.330
1.330,0.2055,-0.0024,0.2055,0.0000,0.0024,0.180,0.017,11.840,0.000,74.440
1.383,0.2170,-0.0024,0.2170,0.0000,0.0024,0.180,0.016,11.820,0.000,73.330
1.442,0.2244,-0.0024,0.2244,0.0000,0.0024,0.180,0.017,11.820,0.000,73.330
1.478,0.2322,-0.0024,0.2322,0.0000,0.0024,0.180,0.018,11.840,0.000,74.440
1.521,0.2438,-0.0025,0.2438,0.0000,0.0025,0.180,0.018,11.820,0.000,73.330
1.565,0.2513,-0.0025,0.2513,0.0000,0.0025,0.180,0.018,11.820,0.000,73.330
1.627,0.2592,-0.0025,0.2592,0.0000,0.0025,0.180,0.019,11.820,0.000,73.330
1.671,0.2708,-0.0026,0.2708,0.0000,0.0026,0.180,0.019,11.840,0.000,74.440
1.743,0.2784,-0.0026,0.2784,0.0000,0.0026,0.180,0.020,11.800,0.000,72.220
1.775,0.2861,-0.0026,0.2861,0.0000,0.0026,0.180,0.022,11.820,0.000,73.330
1.822,0.2976,-0.0027,0.2976,0.0000,0.0027,0.180,0.022,11.840,0.000,74.440
1.871,0.3052,-0.0027,0.3052,0.0000,0.0027,0.180,0.023,11.780,0.000,71.110
1.928,0.3127,-0.0027,0.3127,0.0000,0.0027,0.180,0.022,11.820,0.000,73.330
1.980,0.3242,-0.0028,0.3242,0.0000,0.0028,0.180,0.022,11.850,0.000,75.000
2.042,0.3319,-0.0028,0.3319,0.0000,0.0028,0.180,0.022,11.780,0.000,71.110
2.081,0.3391,-0.0028,0.3391,0.0000,0.0028,0.180,0.021,11.840,0.000,74.440
2.130,0.3508,-0.0029,0.3508,0.0000,0.0029,0.180,0.020,11.840,0.000,74.440
2.176,0.3585,-0.0029,0.3585,0.0000,0.0029,0.180,0.019,11.800,0.000,72.220
2.358,0.3698,-0.0029,0.3698,0.0000,0.0029,0.180,0.019,11.820,0.000,73.330
2.361,0.3775,-0.0029,0.3775,0.0000,0.0029,0.180,0.019,11.820,0.000,73.330
2.362,0.3852,-0.0029,0.3852,0.0000,0.0029,0.180,0.019,11.820,0.000,73.330
2.371,0.3967,-0.0029,0.3967,0.0000,0.0029,0.180,0.019,11.780,0.000,71.110
2.429,0.4043,-0.0029,0.4043,0.0000,0.0029,0.180,0.014,11.820,0.000,73.330
2.475,0.4120,-0.0029,0.4120,0.0000,0.0029,0.180,0.013,11.820,0.000,73.330
2.521,0.4234,-0.0029,0.4234,0.0000,0.0029,0.180,0.013,11.780,0.000,71.110
2.567,0.4309,-0.0028,0.4309,0.0000,0.0028,0.180,0.013,11.800,0.000,72.220
2.626,0.4385,-0.0028,0.4385,0.0000,0.0028,0.180,0.012,11.820,0.000,73.330
2.670,0.4501,-0.0028,0.4501,0.0000,0.0028,0.180,0.012,11.800,0.000,72.220
2.730,0.4577,-0.0028,0.4577,0.0000,0.0028,0.180,0.011,11.800,0.000,72.220
2.773,0.4656,-0.0027,0.4656,0.0000,0.0027,0.180,0.011,11.820,0.000,73.330
2.819,0.4772,-0.0027,0.4772,0.0000,0.0027,0.180,0.011,11.800,0.000,72.220
2.882,0.4847,-0.0027,0.4847,0.0000,0.0027,0.180,0.011,11.800,0.000,72.220
2.924,0.4924,-0.0026,0.4924,0.0000,0.0026,0.180,0.011,11.820,0.000,73.330
2.970,0.5039,-0.0026,0.5039,0.0000,0.0026,0.180,0.011,11.820,0.000,73.330
3.031,0.5116,-0.0026,0.5116,0.0000,0.0026,0.180,0.010,11.780,0.000,71.110
3.075,0.5225,-0.0025,0.5225,0.0000,0.0025,0.180,0.010,11.820,0.000,73.330
3.145,0.5303,-0.0025,0.5303,0.0000,0.0025,0.180,0.009,11.800,0.000,72.220
3.172,0.5379,-0.0025,0.5379,0.0000,0.0025,0.180,0.009,11.800,0.000,72.220
3.225,0.5490,-0.0024,0.5490,0.0000,0.0024,0.180,0.008,11.820,0.000,73.330
3.269,0.5568,-0.0024,0.5568,0.0000,0.0024,0.180,0.008,11.820,0.000,73.330
3.325,0.5645,-0.0024,0.5645,0.0000,0.0024,0.180,0.006,11.800,0.000,72.220
3.374,0.5762,-0.0023,0.5762,0.0000,0.0023,0.180,0.006,11.820,0.000,73.330
3.427,0.5839,-0.0023,0.5839,0.0000,0.0023,0.180,0.005,11.820,0.000,73.330
3.475,0.5917,-0.0022,0.5917,0.0000,0.0022,0.180,0.004,11.800,0.000,72.220
3.522,0.6031,-0.0021,0.6031,0.0000,0.0021,0.180,0.004,11.800,0.000,72.220
3.566,0.6108,-0.0021,0.6108,0.0000,0.0021,0.180,0.004,11.820,0.000,73.330
3.626,0.6184,-0.0021,0.6184,0.0000,0.0021,0.180,0.003,11.800,0.000,72.220
3.677,0.6298,-0.0020,0.6298,0.0000,0.0020,0.180,0.004,11.800,0.000,72.220
3.729,0.6370,-0.0020,0.6370,0.0000,0.0020,0.180,0.003,11.820,0.000,73.330
3.772,0.6485,-0.0019,0.6485,0.0000,0.0019,0.180,0.003,11.800,0.000,72.220
3.819,0.6562,-0.0019,0.6562,0.0000,0.0019,0.180,0.003,11.820,0.000,73.330
3.878,0.6638,-0.0018,0.6638,0.0000,0.0018,0.180,0.005,11.800,0.000,72.220
3.923,0.6755,-0.0018,0.6755,0.0000,0.0018,0.180,0.005,11.820,0.000,73.330
3.969,0.6833,-0.0018,0.6833,0.0000,0.0018,0.180,0.005,11.800,0.000,72.220
4.048,0.6909,-0.0017,0.6909,0.0000,0.0017,0.180,0.007,11.820,0.000,73.330
4.069,0.7024,-0.0017,0.7024,0.0000,0.0017,0.180,0.007,11.800,0.000,72.220
4.132,0.7101,-0.0017,0.7101,0.0000,0.0017,0.180,0.007,11.820,0.000,73.330
4.175,0.7177,-0.0017,0.7177,0.0000,0.0017,0.180,0.008,11.800,0.000,72.220
4.230,0.7291,-0.0017,0.7291,0.0000,0.0017,0.180,0.008,11.820,0.000,73.330
4.267,0.7368,-0.0017,0.7368,0.0000,0.0017,0.180,0.008,11.800,0.000,72.220
4.327,0.7444,-0.0016,0.7444,0.0000,0.0016,0.180,0.008,11.820,0.000,73.330
4.369,0.7560,-0.0016,0.7560,0.0000,0.0016,0.180,0.008,11.820,0.000,73.330
4.428,0.7637,-0.0016,0.7637,0.0000,0.0016,0.180,0.007,11.800,0.000,72.220
4.470,0.7710,-0.0016,0.7710,0.0000,0.0016,0.180,0.007,11.800,0.000,72.220
4.518,0.7828,-0.0016,0.7828,0.0000,0.0016,0.180,0.006,11.820,0.000,73.330
4.577,0.7905,-0.0016,0.7905,0.0000,0.0016,0.180,0.005,11.820,0.000,73.330
4.623,0.8017,-0.0015,0.8017,0.0000,0.0015,0.180,0.005,11.820,0.000,73.330
4.667,0.8093,-0.0015,0.8093,0.0000,0.0015,0.180,0.004,11.820,0.000,73.330
4.728,0.8169,-0.0015,0.8169,0.0000,0.0015,0.180,0.003,11.820,0.000,73.330
4.768,0.8283,-0.0014,0.8283,0.0000,0.0014,0.180,0.003,11.820,0.000,73.330
4.830,0.8359,-0.0014,0.8359,0.0000,0.0014,0.180,0.003,11.820,0.000,73.330
4.875,0.8435,-0.0014,0.8435,0.0000,0.0014,0.180,0.004,11.820,0.000,73.330
4.924,0.8550,-0.0013,0.8550,0.0000,0.0013,0.180,0.004,11.820,0.000,73.330
4.966,0.8627,-0.0013,0.8627,0.0000,0.0013,0.180,0.004,11.820,0.000,73.330
5.027,0.8703,-0.0013,0.8703,0.0000,0.0013,0.180,0.004,11.820,0.000,73.330
5.072,0.8819,-0.0013,0.8819,0.0000,0.0013,0.180,0.004,11.820,0.000,73.330
